Delta [slots]	Adversarial Stake [%/100]	Bound	Number of Blocks	Probability of Failure
0.01	0.175	UB	17    	0.0004004191222918705
0.01	0.175	UB	18    	0.0002652664937825384
0.01	0.175	UB	19    	0.0001758360542420426
0.01	0.175	UB	20    	0.0001166141598593042
0.01	0.175	UB	21    	7.73712242022975e-05
0.01	0.175	UB	22    	5.135291688320279e-05
0.01	0.175	UB	23    	3.409458500554555e-05
0.01	0.175	UB	24    	2.264233566745458e-05
0.01	0.175	UB	25    	1.504029923846329e-05
0.01	0.175	UB	26    	9.992578347350888e-06
0.01	0.175	UB	27    	6.640074061266968e-06
0.01	0.175	UB	28    	4.41298759314145e-06
0.01	0.175	UB	29    	2.933245944068805e-06
0.01	0.175	UB	30    	1.949902975745226e-06
0.01	0.175	UB	31    	1.296343352522907e-06
0.01	0.175	UB	32    	8.619145850239994e-07
0.01	0.175	UB	33    	5.731138491997602e-07
0.01	0.175	UB	34    	3.811062139434248e-07
0.01	0.175	UB	35    	2.534405496944344e-07
0.01	0.175	UB	36    	1.685497301314189e-07
0.01	0.175	UB	37    	1.120983545377866e-07
0.01	0.175	UB	38    	7.455680528504708e-08
0.01	0.175	UB	39    	4.95895495850919e-08
0.01	0.175	UB	40    	3.298420684964833e-08
0.01	0.200	LB	1     	0.5500749854606871
0.01	0.200	LB	2     	0.3304943172800893
0.01	0.200	LB	3     	0.2214724664246143
0.01	0.200	LB	4     	0.1507939879339967
0.01	0.200	LB	5     	0.1027637133640034
0.01	0.200	LB	6     	0.07092623772599188
0.01	0.200	LB	7     	0.04949675565474791
0.01	0.200	LB	8     	0.03473706307016064
0.01	0.200	LB	9     	0.02447268706553363
0.01	0.200	LB	10    	0.01730109113144666
0.01	0.200	LB	11    	0.01226561215062646
0.01	0.200	LB	12    	0.008714757559112716
0.01	0.200	LB	13    	0.006202932811718396
0.01	0.200	LB	14    	0.004421727913278562
0.01	0.200	LB	15    	0.003155994339399359
0.01	0.200	LB	16    	0.002254979858327621
0.01	0.200	LB	17    	0.001612653121132443
0.01	0.200	LB	18    	0.001154179295290756
0.01	0.200	LB	19    	0.0008265922097787313
0.01	0.200	LB	20    	0.000592317547654781
0.01	0.200	LB	21    	0.0004246481838274944
0.01	0.200	LB	22    	0.0003045697847275909
0.01	0.200	LB	23    	0.0002185260042998524
0.01	0.200	LB	24    	0.0001568403184308158
0.01	0.200	LB	25    	0.0001125986319686356
0.01	0.200	LB	26    	8.085638975023214e-05
0.01	0.200	LB	27    	5.807490718240319e-05
0.01	0.200	LB	28    	4.172002070103815e-05
0.01	0.200	LB	29    	2.997593004814022e-05
0.01	0.200	LB	30    	2.154093666933173e-05
0.01	0.200	LB	31    	1.548149671531694e-05
0.01	0.200	LB	32    	1.112785213116857e-05
0.01	0.200	LB	33    	7.999340299876471e-06
0.01	0.200	LB	34    	5.750908924602705e-06
0.01	0.200	LB	35    	4.134794704271607e-06
0.01	0.200	LB	36    	2.973053464416468e-06
0.01	0.200	LB	37    	2.1378606667015e-06
0.01	0.200	LB	38    	1.537379097899238e-06
0.01	0.200	LB	39    	1.105617147291468e-06
0.01	0.200	LB	40    	7.951487664050646e-07
0.01	0.200	UB	1     	0.5503448936732178
0.01	0.200	UB	2     	0.3307406368082736
0.01	0.200	UB	3     	0.2216711276742324
0.01	0.200	UB	4     	0.150949805264436
0.01	0.200	UB	5     	0.1028879404234637
0.01	0.200	UB	6     	0.07102435964905635
0.01	0.200	UB	7     	0.04957272188492529
0.01	0.200	UB	8     	0.03479533326466564
0.01	0.200	UB	9     	0.02451723027672755
0.01	0.200	UB	10    	0.01733501413282365
0.01	0.200	UB	11    	0.01229135052158461
0.01	0.200	UB	12    	0.008734229641953408
0.01	0.200	UB	13    	0.006217629421092208
0.01	0.200	UB	14    	0.004432796150624143
0.01	0.200	UB	15    	0.003164313295381509
0.01	0.200	UB	16    	0.002261221068209988
0.01	0.200	UB	17    	0.001617327764727796
0.01	0.200	UB	18    	0.001157675259983077
0.01	0.200	UB	19    	0.0008292030307799457
0.01	0.200	UB	20    	0.0005942648164481656
0.01	0.200	UB	21    	0.0004260988080696303
0.01	0.200	UB	22    	0.0003056492296075401
0.01	0.200	UB	23    	0.0002193284108880155
0.01	0.200	UB	24    	0.0001574362073426263
0.01	0.200	UB	25    	0.0001130407499652795
0.01	0.200	UB	26    	8.118413458902601e-05
0.01	0.200	UB	27    	5.831766815581375e-05
0.01	0.200	UB	28    	4.189969500169934e-05
0.01	0.200	UB	29    	3.010881454576327e-05
0.01	0.200	UB	30    	2.163914758380656e-05
0.01	0.200	UB	31    	1.555403326442177e-05
0.01	0.200	UB	32    	1.118139224357183e-05
0.01	0.200	UB	33    	8.038835063420165e-06
0.01	0.200	UB	34    	5.780026106908392e-06
0.01	0.200	UB	35    	4.156249269489565e-06
0.01	0.200	UB	36    	2.988853602451035e-06
0.01	0.200	UB	37    	2.149490739504788e-06
0.01	0.200	UB	38    	1.545935543219921e-06
0.01	0.200	UB	39    	1.111909342372088e-06
0.01	0.200	UB	40    	7.997738202180662e-07
0.01	0.225	LB	1     	0.6097572428208966
0.01	0.225	LB	2     	0.4011519047488455
0.01	0.225	LB	3     	0.2875569766772018
0.01	0.225	LB	4     	0.2094277638548765
0.01	0.225	LB	5     	0.153035165556891
0.01	0.225	LB	6     	0.1129797540903717
0.01	0.225	LB	7     	0.08416766497542615
0.01	0.225	LB	8     	0.06303822732656301
0.01	0.225	LB	9     	0.04739091660518432
0.01	0.225	LB	10    	0.03574197784406614
0.01	0.225	LB	11    	0.02702773883981198
0.01	0.225	LB	12    	0.02048158625876804
0.01	0.225	LB	13    	0.01554822076463728
0.01	0.225	LB	14    	0.01182071982903999
0.01	0.225	LB	15    	0.008998231786991821
0.01	0.225	LB	16    	0.006857097720917645
0.01	0.225	LB	17    	0.005230308334094557
0.01	0.225	LB	18    	0.003992666287603756
0.01	0.225	LB	19    	0.003050009389651862
0.01	0.225	LB	20    	0.002331323724828075
0.01	0.225	LB	21    	0.001782928661372501
0.01	0.225	LB	22    	0.001364165240379947
0.01	0.225	LB	23    	0.001044184780626926
0.01	0.225	LB	24    	0.000799547460773978
0.01	0.225	LB	25    	0.0006124203912481116
0.01	0.225	LB	26    	0.0004692215326315316
0.01	0.225	LB	27    	0.0003595965675327616
0.01	0.225	LB	28    	0.0002756452970817636
0.01	0.225	LB	29    	0.0002113356089277446
0.01	0.225	LB	30    	0.0001620588177021174
0.01	0.225	LB	31    	0.0001242918001891259
0.01	0.225	LB	32    	9.533996308046506e-05
0.01	0.225	LB	33    	7.314149663236733e-05
0.01	0.225	LB	34    	5.611816281192834e-05
0.01	0.225	LB	35    	4.306146255427451e-05
0.01	0.225	LB	36    	3.304573114321193e-05
0.01	0.225	LB	37    	2.536174957681983e-05
0.01	0.225	LB	38    	1.946600016359646e-05
0.01	0.225	LB	39    	1.494186054789789e-05
0.01	0.225	LB	40    	1.146991433562363e-05
0.01	0.225	UB	1     	0.6099962254129816
0.01	0.225	UB	2     	0.4013897302641255
0.01	0.225	UB	3     	0.2877652730269162
0.01	0.225	UB	4     	0.2096029260401187
0.01	0.225	UB	5     	0.1531836299679404
0.01	0.225	UB	6     	0.1131046072134272
0.01	0.225	UB	7     	0.08427082143120468
0.01	0.225	UB	8     	0.06312261366998488
0.01	0.225	UB	9     	0.04745964059688512
0.01	0.225	UB	10    	0.03579773122025355
0.01	0.225	UB	11    	0.02707280546236403
0.01	0.225	UB	12    	0.02051790841237702
0.01	0.225	UB	13    	0.01557742538577111
0.01	0.225	UB	14    	0.01184415185165469
0.01	0.225	UB	15    	0.009016995986456817
0.01	0.225	UB	16    	0.006872097744254168
0.01	0.225	UB	17    	0.00524228029802488
0.01	0.225	UB	18    	0.004002207644221948
0.01	0.225	UB	19    	0.003057603528241022
0.01	0.225	UB	20    	0.002337360666510523
0.01	0.225	UB	21    	0.001787722310818973
0.01	0.225	UB	22    	0.001367967677440028
0.01	0.225	UB	23    	0.00104719803305843
0.01	0.225	UB	24    	0.0008019331520295514
0.01	0.225	UB	25    	0.0006143076114839835
0.01	0.225	UB	26    	0.0004707132354169189
0.01	0.225	UB	27    	0.0003607747510058557
0.01	0.225	UB	28    	0.0002765751882885363
0.01	0.225	UB	29    	0.0002120690344865268
0.01	0.225	UB	30    	0.000162636912896691
0.01	0.225	UB	31    	0.0001247471819672307
0.01	0.225	UB	32    	9.569846989816783e-05
0.01	0.225	UB	33    	7.342357920773802e-05
0.01	0.225	UB	34    	5.633999416966207e-05
0.01	0.225	UB	35    	4.32358228018046e-05
0.01	0.225	UB	36    	3.318271179742124e-05
0.01	0.225	UB	37    	2.546931358216752e-05
0.01	0.225	UB	38    	1.955042667889928e-05
0.01	0.225	UB	39    	1.500809784857263e-05
0.01	0.225	UB	40    	1.152185954265111e-05
2.00	0.025	LB	1     	0.07658760172782232
2.00	0.025	LB	2     	0.007175715811226546
2.00	0.025	LB	3     	0.001750567823746833
2.00	0.025	LB	4     	0.0002935869573881464
2.00	0.025	LB	5     	4.133676078031586e-05
2.00	0.025	LB	6     	7.637851305762635e-06
2.00	0.025	LB	7     	1.431698944990598e-06
2.00	0.025	LB	8     	2.413868894117974e-07
2.00	0.025	LB	9     	4.191846819213128e-08
2.00	0.025	LB	10    	7.563673398677476e-09
2.00	0.025	LB	11    	1.335168727612622e-09
2.00	0.025	LB	12    	2.33872331441014e-10
2.00	0.025	LB	13    	4.14618611786887e-11
2.00	0.025	LB	14    	7.351621674709581e-12
2.00	0.025	LB	15    	1.297575568149359e-12
2.00	0.025	LB	16    	2.293715148819977e-13
2.00	0.025	LB	17    	4.060891193880178e-14
2.00	0.025	LB	18    	7.1825272047055e-15
2.00	0.025	LB	19    	1.2700223182241e-15
2.00	0.025	LB	20    	2.246837492171737e-16
2.00	0.025	LB	21    	3.974901669219545e-17
2.00	0.025	LB	22    	7.030705088687981e-18
2.00	0.025	LB	23    	1.243664485574598e-18
2.00	0.025	LB	24    	2.200063191653137e-19
2.00	0.025	LB	25    	3.891781496462983e-20
2.00	0.025	LB	26    	6.884266767419955e-21
2.00	0.025	LB	27    	1.21780230469278e-21
2.00	0.025	LB	28    	2.154246393136164e-22
2.00	0.025	LB	29    	3.810751373380834e-23
2.00	0.025	LB	30    	6.741047551239604e-24
2.00	0.025	LB	31    	1.192464045520725e-24
2.00	0.025	LB	32    	2.109416682851131e-25
2.00	0.025	LB	33    	3.731464407699894e-26
2.00	0.025	LB	34    	6.600800271895776e-27
2.00	0.025	LB	35    	1.167652833406514e-27
2.00	0.025	LB	36    	2.065525638239867e-28
2.00	0.025	LB	37    	3.653821340555461e-29
2.00	0.025	LB	38    	6.463441489909765e-30
2.00	0.025	LB	39    	1.143352165017038e-30
2.00	0.025	LB	40    	2.022534379660625e-31
2.00	0.025	UB	1     	0.1669483401864958
2.00	0.025	UB	2     	0.03014671176612595
2.00	0.025	UB	3     	0.006909393937938692
2.00	0.025	UB	4     	0.001616441955192282
2.00	0.025	UB	5     	0.000378129135082792
2.00	0.025	UB	6     	8.938938148962664e-05
2.00	0.025	UB	7     	2.121637022764769e-05
2.00	0.025	UB	8     	5.042115036480778e-06
2.00	0.025	UB	9     	1.199582259693156e-06
2.00	0.025	UB	10    	2.855925550563029e-07
2.00	0.025	UB	11    	6.801794638782664e-08
2.00	0.025	UB	12    	1.620307098787022e-08
2.00	0.025	UB	13    	3.860393511804001e-09
2.00	0.025	UB	14    	9.198184935645348e-10
2.00	0.025	UB	15    	2.191769026477673e-10
2.00	0.025	UB	16    	5.222771743518984e-11
2.00	0.025	UB	17    	1.244559570473777e-11
2.00	0.025	UB	18    	2.965756582148979e-12
2.00	0.025	UB	19    	7.067381248447427e-13
2.00	0.025	UB	20    	1.68416068357868e-13
2.00	0.025	UB	21    	4.013375219978646e-14
2.00	0.025	UB	22    	9.563938489732322e-15
2.00	0.025	UB	23    	2.279104629460703e-15
2.00	0.025	UB	24    	5.431153177426838e-16
2.00	0.025	UB	25    	1.294255522756606e-16
2.00	0.025	UB	26    	3.084239671357722e-17
2.00	0.025	UB	27    	7.349812912002043e-18
2.00	0.025	UB	28    	1.751477229205456e-18
2.00	0.025	UB	29    	4.173810576946249e-19
2.00	0.025	UB	30    	9.946287147181764e-20
2.00	0.025	UB	31    	2.370223294948905e-20
2.00	0.025	UB	32    	5.648297174827454e-21
2.00	0.025	UB	33    	1.34600235212207e-21
2.00	0.025	UB	34    	3.207554927435068e-22
2.00	0.025	UB	35    	7.643678064196554e-23
2.00	0.025	UB	36    	1.821506281643075e-23
2.00	0.025	UB	37    	4.340691890607008e-24
2.00	0.025	UB	38    	1.034396987441888e-24
2.00	0.025	UB	39    	2.464992113977689e-25
2.00	0.025	UB	40    	5.874133621554183e-26
2.00	0.050	LB	1     	0.1517442448647511
2.00	0.050	LB	2     	0.02769306508637956
2.00	0.050	LB	3     	0.008797928635090041
2.00	0.050	LB	4     	0.00248983622908027
2.00	0.050	LB	5     	0.0006388006269735272
2.00	0.050	LB	6     	0.0001818451739966615
2.00	0.050	LB	7     	5.394689341185399e-05
2.00	0.050	LB	8     	1.552770992284411e-05
2.00	0.050	LB	9     	4.465719179246651e-06
2.00	0.050	LB	10    	1.303281025426657e-06
2.00	0.050	LB	11    	3.806082556815752e-07
2.00	0.050	LB	12    	1.108354541727952e-07
2.00	0.050	LB	13    	3.233164499625919e-08
2.00	0.050	LB	14    	9.447237838858837e-09
2.00	0.050	LB	15    	2.760176986502268e-09
2.00	0.050	LB	16    	8.064358304834723e-10
2.00	0.050	LB	17    	2.357108742109034e-10
2.00	0.050	LB	18    	6.890878457570399e-11
2.00	0.050	LB	19    	2.014561788314667e-11
2.00	0.050	LB	20    	5.890023766623571e-12
2.00	0.050	LB	21    	1.72221930933206e-12
2.00	0.050	LB	22    	5.03588953604915e-13
2.00	0.050	LB	23    	1.472562094338166e-13
2.00	0.050	LB	24    	4.306076636333305e-14
2.00	0.050	LB	25    	1.259209733759933e-14
2.00	0.050	LB	26    	3.682301320454193e-15
2.00	0.050	LB	27    	1.076823190038761e-15
2.00	0.050	LB	28    	3.149000227179514e-16
2.00	0.050	LB	29    	9.208805214205024e-17
2.00	0.050	LB	30    	2.692994771548921e-17
2.00	0.050	LB	31    	7.87533441826536e-18
2.00	0.050	LB	32    	2.303050558963562e-18
2.00	0.050	LB	33    	6.735016140227118e-19
2.00	0.050	LB	34    	1.969583127246339e-19
2.00	0.050	LB	35    	5.759839047584e-20
2.00	0.050	LB	36    	1.684405324882055e-20
2.00	0.050	LB	37    	4.925870266894061e-21
2.00	0.050	LB	38    	1.440520138720813e-21
2.00	0.050	LB	39    	4.212652181601779e-22
2.00	0.050	LB	40    	1.231946044735738e-22
2.00	0.050	UB	1     	0.2370057565679993
2.00	0.050	UB	2     	0.06117780736515029
2.00	0.050	UB	3     	0.02012772290897907
2.00	0.050	UB	4     	0.006690586236106796
2.00	0.050	UB	5     	0.002216523382573504
2.00	0.050	UB	6     	0.0007474591528302581
2.00	0.050	UB	7     	0.0002539894576966816
2.00	0.050	UB	8     	8.648535595436285e-05
2.00	0.050	UB	9     	2.951465997622916e-05
2.00	0.050	UB	10    	1.008978667671109e-05
2.00	0.050	UB	11    	3.452679806285514e-06
2.00	0.050	UB	12    	1.1822742658912e-06
2.00	0.050	UB	13    	4.050303226519803e-07
2.00	0.050	UB	14    	1.388029035086808e-07
2.00	0.050	UB	15    	4.757803905395988e-08
2.00	0.050	UB	16    	1.631107470593893e-08
2.00	0.050	UB	17    	5.592506418134808e-09
2.00	0.050	UB	18    	1.917626739032625e-09
2.00	0.050	UB	19    	6.575752799267587e-10
2.00	0.050	UB	20    	2.254985734939862e-10
2.00	0.050	UB	21    	7.733109596275263e-11
2.00	0.050	UB	22    	2.651997617309909e-11
2.00	0.050	UB	23    	9.094906659679842e-12
2.00	0.050	UB	24    	3.119089051816929e-12
2.00	0.050	UB	25    	1.069696243427896e-12
2.00	0.050	UB	26    	3.668558478235441e-13
2.00	0.050	UB	27    	1.258148962949526e-13
2.00	0.050	UB	28    	4.31489136521649e-14
2.00	0.050	UB	29    	1.479818742373635e-14
2.00	0.050	UB	30    	5.07513733801175e-15
2.00	0.050	UB	31    	1.740554082037343e-15
2.00	0.050	UB	32    	5.969357220702717e-16
2.00	0.050	UB	33    	2.047235718925799e-16
2.00	0.050	UB	34    	7.021150810404927e-17
2.00	0.050	UB	35    	2.407957823795775e-17
2.00	0.050	UB	36    	8.258278769058823e-18
2.00	0.050	UB	37    	2.832241394440851e-18
2.00	0.050	UB	38    	9.713394737220993e-19
2.00	0.050	UB	39    	3.331285403655821e-19
2.00	0.050	UB	40    	1.142490682196783e-19
2.00	0.075	LB	1     	0.2253428806237691
2.00	0.075	LB	2     	0.06006107288911324
2.00	0.075	LB	3     	0.023276809389648
2.00	0.075	LB	4     	0.008733292984627024
2.00	0.075	LB	5     	0.003100335674010248
2.00	0.075	LB	6     	0.001159724078581485
2.00	0.075	LB	7     	0.0004487107790174557
2.00	0.075	LB	8     	0.0001725465084553221
2.00	0.075	LB	9     	6.628081055662755e-05
2.00	0.075	LB	10    	2.563911485944465e-05
2.00	0.075	LB	11    	9.949044002322496e-06
2.00	0.075	LB	12    	3.861613267893092e-06
2.00	0.075	LB	13    	1.500266237556565e-06
2.00	0.075	LB	14    	5.835779683968958e-07
2.00	0.075	LB	15    	2.271517706561149e-07
2.00	0.075	LB	16    	8.845014202815159e-08
2.00	0.075	LB	17    	3.445414507549106e-08
2.00	0.075	LB	18    	1.342506640234583e-08
2.00	0.075	LB	19    	5.232157202252233e-09
2.00	0.075	LB	20    	2.039443581772343e-09
2.00	0.075	LB	21    	7.950550581697952e-10
2.00	0.075	LB	22    	3.099740112039817e-10
2.00	0.075	LB	23    	1.208608449134769e-10
2.00	0.075	LB	24    	4.712715831939253e-11
2.00	0.075	LB	25    	1.837710030305542e-11
2.00	0.075	LB	26    	7.166358111712004e-12
2.00	0.075	LB	27    	2.794682062879539e-12
2.00	0.075	LB	28    	1.089873516142422e-12
2.00	0.075	LB	29    	4.250377960389224e-13
2.00	0.075	LB	30    	1.657620621767014e-13
2.00	0.075	LB	31    	6.464688343148712e-14
2.00	0.075	LB	32    	2.521238343496151e-14
2.00	0.075	LB	33    	9.832937438998379e-15
2.00	0.075	LB	34    	3.834909097373675e-15
2.00	0.075	LB	35    	1.495645902683636e-15
2.00	0.075	LB	36    	5.833161435877527e-16
2.00	0.075	LB	37    	2.274994561246634e-16
2.00	0.075	LB	38    	8.872736804301615e-17
2.00	0.075	LB	39    	3.460472960789922e-17
2.00	0.075	LB	40    	1.349626925185493e-17
2.00	0.075	UB	1     	0.3052403900816904
2.00	0.075	UB	2     	0.1016186702208774
2.00	0.075	UB	3     	0.04176823228858068
2.00	0.075	UB	4     	0.01737277445381832
2.00	0.075	UB	5     	0.007215626439246035
2.00	0.075	UB	6     	0.003051783314584774
2.00	0.075	UB	7     	0.001302653404658662
2.00	0.075	UB	8     	0.0005577570044074962
2.00	0.075	UB	9     	0.0002394983246491806
2.00	0.075	UB	10    	0.0001030817640767286
2.00	0.075	UB	11    	4.443442560938533e-05
2.00	0.075	UB	12    	1.917425568130728e-05
2.00	0.075	UB	13    	8.280663265787596e-06
2.00	0.075	UB	14    	3.578221191299776e-06
2.00	0.075	UB	15    	1.54687850829096e-06
2.00	0.075	UB	16    	6.68935886999912e-07
2.00	0.075	UB	17    	2.893458385686648e-07
2.00	0.075	UB	18    	1.251781369218336e-07
2.00	0.075	UB	19    	5.416253601560622e-08
2.00	0.075	UB	20    	2.343767071357556e-08
2.00	0.075	UB	21    	1.014294590901772e-08
2.00	0.075	UB	22    	4.389750852741673e-09
2.00	0.075	UB	23    	1.899921285054551e-09
2.00	0.075	UB	24    	8.223310089820153e-10
2.00	0.075	UB	25    	3.559340253282479e-10
2.00	0.075	UB	26    	1.54064088632425e-10
2.00	0.075	UB	27    	6.66868701001441e-11
2.00	0.075	UB	28    	2.886587071830264e-11
2.00	0.075	UB	29    	1.2494911347077e-11
2.00	0.075	UB	30    	5.4086009849818e-12
2.00	0.075	UB	31    	2.341203831842278e-12
2.00	0.075	UB	32    	1.013433991298087e-12
2.00	0.075	UB	33    	4.386854486350506e-13
2.00	0.075	UB	34    	1.898944076673364e-13
2.00	0.075	UB	35    	8.220004264570533e-14
2.00	0.075	UB	36    	3.558218620108577e-14
2.00	0.075	UB	37    	1.540259056800017e-14
2.00	0.075	UB	38    	6.667382141302016e-15
2.00	0.075	UB	39    	2.886139101648235e-15
2.00	0.075	UB	40    	1.249336497055263e-15
2.00	0.100	LB	1     	0.2972431923157502
2.00	0.100	LB	2     	0.1028169877585094
2.00	0.100	LB	3     	0.04663699341840814
2.00	0.100	LB	4     	0.02117550981831771
2.00	0.100	LB	5     	0.009329628917131665
2.00	0.100	LB	6     	0.004239638602642776
2.00	0.100	LB	7     	0.00197679115633881
2.00	0.100	LB	8     	0.0009241241283455752
2.00	0.100	LB	9     	0.0004325060536628653
2.00	0.100	LB	10    	0.0002033478924853223
2.00	0.100	LB	11    	9.592053605242805e-05
2.00	0.100	LB	12    	4.531409825339202e-05
2.00	0.100	LB	13    	2.143313781740302e-05
2.00	0.100	LB	14    	1.014978359939106e-05
2.00	0.100	LB	15    	4.810840936089805e-06
2.00	0.100	LB	16    	2.281746077751437e-06
2.00	0.100	LB	17    	1.082776208833095e-06
2.00	0.100	LB	18    	5.140356643913153e-07
2.00	0.100	LB	19    	2.441132227089306e-07
2.00	0.100	LB	20    	1.159583027742052e-07
2.00	0.100	LB	21    	5.50937768976638e-08
2.00	0.100	LB	22    	2.618037890082308e-08
2.00	0.100	LB	23    	1.244250485112962e-08
2.00	0.100	LB	24    	5.914077351972487e-09
2.00	0.100	LB	25    	2.811283400273864e-09
2.00	0.100	LB	26    	1.33645271351311e-09
2.00	0.100	LB	27    	6.35372119714743e-10
2.00	0.100	LB	28    	3.020811638841259e-10
2.00	0.100	LB	29    	1.436270703652921e-10
2.00	0.100	LB	30    	6.829093398444161e-11
2.00	0.100	LB	31    	3.247142824374152e-11
2.00	0.100	LB	32    	1.544007019861384e-11
2.00	0.100	LB	33    	7.34184162379869e-12
2.00	0.100	LB	34    	3.491139765268471e-12
2.00	0.100	LB	35    	1.660102123867586e-12
2.00	0.100	LB	36    	7.89417550984454e-13
2.00	0.100	LB	37    	3.753897144124753e-13
2.00	0.100	LB	38    	1.785093302210086e-13
2.00	0.100	LB	39    	8.48871350180892e-14
2.00	0.100	LB	40    	4.036684074388474e-14
2.00	0.100	UB	1     	0.3715467964345697
2.00	0.100	UB	2     	0.1501866313622769
2.00	0.100	UB	3     	0.07240396611517436
2.00	0.100	UB	4     	0.03542384645228108
2.00	0.100	UB	5     	0.01735284606073326
2.00	0.100	UB	6     	0.008641547292589204
2.00	0.100	UB	7     	0.004344797342407539
2.00	0.100	UB	8     	0.002193166400971937
2.00	0.100	UB	9     	0.001110673915054622
2.00	0.100	UB	10    	0.0005639931306540561
2.00	0.100	UB	11    	0.000286935589215637
2.00	0.100	UB	12    	0.000146182810957908
2.00	0.100	UB	13    	7.455422194893967e-05
2.00	0.100	UB	14    	3.805435951859081e-05
2.00	0.100	UB	15    	1.943611981809524e-05
2.00	0.100	UB	16    	9.931761150836029e-06
2.00	0.100	UB	17    	5.077011680878061e-06
2.00	0.100	UB	18    	2.596088954103718e-06
2.00	0.100	UB	19    	1.327800891323972e-06
2.00	0.100	UB	20    	6.792458562880926e-07
2.00	0.100	UB	21    	3.475242074402041e-07
2.00	0.100	UB	22    	1.778255274023045e-07
2.00	0.100	UB	23    	9.100051766835408e-08
2.00	0.100	UB	24    	4.65721428856821e-08
2.00	0.100	UB	25    	2.383607518650307e-08
2.00	0.100	UB	26    	1.220012612938933e-08
2.00	0.100	UB	27    	6.244689644875715e-09
2.00	0.100	UB	28    	3.196473407505416e-09
2.00	0.100	UB	29    	1.636222689250251e-09
2.00	0.100	UB	30    	8.375730576952972e-10
2.00	0.100	UB	31    	4.287560540857501e-10
2.00	0.100	UB	32    	2.194844428242278e-10
2.00	0.100	UB	33    	1.123574891672562e-10
2.00	0.100	UB	34    	5.751805866670667e-11
2.00	0.100	UB	35    	2.944486712990516e-11
2.00	0.100	UB	36    	1.507362041584808e-11
2.00	0.100	UB	37    	7.716629824067985e-12
2.00	0.100	UB	38    	3.950385560181756e-12
2.00	0.100	UB	39    	2.022333186756817e-12
2.00	0.100	UB	40    	1.035302053954352e-12
2.00	0.125	LB	1     	0.3672896766750781
2.00	0.125	LB	2     	0.1545215467125677
2.00	0.125	LB	3     	0.07971342077341319
2.00	0.125	LB	4     	0.04175258225443063
2.00	0.125	LB	5     	0.02154837434968011
2.00	0.125	LB	6     	0.01135345086237421
2.00	0.125	LB	7     	0.006100935360271759
2.00	0.125	LB	8     	0.003297538479919869
2.00	0.125	LB	9     	0.001787263737986953
2.00	0.125	LB	10    	0.0009724154985140238
2.00	0.125	LB	11    	0.0005307463101156959
2.00	0.125	LB	12    	0.0002902648777111794
2.00	0.125	LB	13    	0.0001589868023974727
2.00	0.125	LB	14    	8.719559202894187e-05
2.00	0.125	LB	15    	4.787276087874435e-05
2.00	0.125	LB	16    	2.63053220231753e-05
2.00	0.125	LB	17    	1.446401685225698e-05
2.00	0.125	LB	18    	7.957400930629762e-06
2.00	0.125	LB	19    	4.379722258491325e-06
2.00	0.125	LB	20    	2.411454232709551e-06
2.00	0.125	LB	21    	1.328128990896905e-06
2.00	0.125	LB	22    	7.31657240551312e-07
2.00	0.125	LB	23    	4.031465613552772e-07
2.00	0.125	LB	24    	2.221729608747775e-07
2.00	0.125	LB	25    	1.22456050348912e-07
2.00	0.125	LB	26    	6.750254142729334e-08
2.00	0.125	LB	27    	3.721367873296696e-08
2.00	0.125	LB	28    	2.051733129484268e-08
2.00	0.125	LB	29    	1.131277787847345e-08
2.00	0.125	LB	30    	6.237966641710095e-09
2.00	0.125	LB	31    	3.439840351915265e-09
2.00	0.125	LB	32    	1.896931585274311e-09
2.00	0.125	LB	33    	1.046117368154683e-09
2.00	0.125	LB	34    	5.769287494833122e-10
2.00	0.125	LB	35    	3.181815547214252e-10
